invokerItems,invokerSideHero1,invokerSideHero1Steam,invokerSideHero2,invokerSideHero2Steam,invokerSideHero3,invokerSideHero3Steam,invokerSideHero4,invokerSideHero4Steam,invokerSideRadiant,matchId,otherSideHero1,otherSideHero1Steam,otherSideHero2,otherSideHero2Steam,otherSideHero3,otherSideHero3Steam,otherSideHero4,otherSideHero4Steam,otherSideHero5,otherSideHero5Steam
"[20, 15, 76, 16, 39, 46, 29, 38, 25, 38, 46, 64, 38, 65, 46, 60, 23, 38, 21, 22, 108, 46, 46, 23, 56, 101, 102, 24, 46, 56, 57, 69, 122, 38, 123, 47, 48, 39, 1, 9, 118, 58, 119]",10,333812119,79,99999800,63,103501229,56,105933726,True,3313853232,86,403195745,80,305473059,104,168089239,114,91671525,1,141961378
"[20, 15, 76, 16, 39, 46, 20, 20, 15, 15, 76, 77, 25, 29, 34, 36, 25, 64, 38, 65, 23, 21, 22, 60, 108, 38, 47, 38, 48, 24, 122, 56, 57, 69, 123, 1, 58, 118, 21, 9, 119, 61, 59, 60, 129, 58, 235]",56,218583861,69,251678985,40,45324910,16,147424186,True,3319366457,34,102311719,14,242651962,26,123755045,54,256601919,63,237818114
"[20, 15, 76, 16, 16, 16, 16, 39, 46, 29, 38, 46, 20, 15, 76, 77, 20, 34, 36, 265, 25, 46, 46, 64, 65, 38, 23, 46, 60, 21, 46, 22, 108, 46, 38, 1, 47, 48, 24, 56, 57, 122, 69, 123, 57, 58, 24, 96]",101,147858311,51,187583696,7,88719902,4,86785083,False,3293397819,98,95439451,43,86930446,75,233861262,1,105470669,9,172424257
"[20, 15, 76, 16, 46, 29, 39, 46, 265, 20, 34, 36, 46, 46, 25, 46, 64, 65, 46, 57, 38, 38, 23, 46, 244, 99, 100, 60, 46, 23, 21, 22, 108, 46, 47, 48, 56, 57, 69, 122, 24, 122, 123, 9, 58, 118, 119, 21, 8, 115, 116]",107,78181911,41,187583696,65,107856386,14,136296149,True,3301589824,39,86870856,32,333765799,86,46757253,93,170614144,79,102564830
"[20, 15, 76, 16, 39, 20, 34, 36, 38, 29, 38, 265, 46, 25, 46, 38, 46, 38, 64, 38, 65, 46, 38, 60, 46, 23, 21, 46, 22, 108, 38, 47, 48]",36,123349095,51,163591637,86,235909850,41,227698822,False,3300606798,7,122777079,39,108997922,71,103562551,64,337449854,42,412753955
"[20, 15, 76, 16, 20, 15, 39, 15, 76, 29, 77, 25, 46, 265, 64, 38, 65, 60, 23, 21, 21, 22, 23, 56, 101, 108, 101, 102, 216, 38, 216]",61,250927197,75,118090621,23,102937604,8,103731199,True,3310871375,4,116342709,7,117986722,56,62670682,14,55793232,46,58668099
"[20, 15, 76, 16, 237, 39, 20, 15, 76, 77, 46, 29, 25, 38, 46, 46, 64, 65, 38, 60, 23, 21, 22, 38, 108, 46, 47, 48, 1, 61, 59, 60, 129, 58, 235, 21, 8, 115, 116, 56, 57, 69, 109, 110, 47, 220]",16,337154485,54,73510572,84,338298564,9,17802581,True,3309781846,35,181483579,14,40583175,86,148322755,39,106358373,19,44195121
"[20, 15, 76, 16, 34, 16, 16, 20, 39, 34, 36, 29, 25, 46, 64, 65, 46, 60, 23, 21, 22, 108, 46, 47, 48, 1, 24, 56, 57, 69, 122, 123, 118, 9, 58, 119]",68,181817391,9,113915755,56,144209580,41,171636383,True,3289457505,28,235977526,14,120892499,44,174140029,21,87111467,79,88332758
"[20, 15, 76, 16, 39, 25, 29, 34, 38, 38, 64, 65, 184, 20, 13, 72, 73, 28, 38, 244, 185, 38, 46, 38, 60, 23, 21, 22, 108, 46, 47, 48, 1, 40, 57, 58, 24, 96, 56, 57, 109, 69, 110]",23,104194784,16,130320493,8,110717962,14,86846893,True,3307537261,11,387229823,71,255967772,54,297195435,64,419172332,41,88020715
"[20, 15, 76, 237, 16, 39, 2, 38, 29, 2, 38, 50, 20, 16, 34, 46, 36, 38, 265, 20, 12, 91, 92, 25, 64, 65, 60, 46, 23, 21, 22, 46, 46, 46, 108, 57, 23, 244, 99, 100, 21, 8, 115, 116, 46, 24]",7,147796322,15,385019719,114,137679714,87,41336506,True,3321799534,13,337151780,64,113465601,34,314700869,70,135893728,107,281845328
